振替日,振替元口座,振替先口座,備考,金額
2025/04/23,川口信金（法人）（API）,みずほ（法人）（API）,,200000
2025/03/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,442955
2025/02/28,川口信金（法人）（API）,現金,,500000
2025/02/28,川口信金（法人）（API）,現金,,200000
2025/02/25,現金,川口信金（法人）（API）,,200000
2025/02/17,川口信金（法人）（API）,現金,,300000
2025/02/06,現金,みずほ（法人）（API）,,200000
2025/02/06,みずほ（法人）（API）,現金,,200000
2025/02/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,607360
2025/01/22,川口信金（法人）（API）,現金,,40000
2025/01/22,川口信金（法人）（API）,現金,,10000
2025/01/22,みずほ（法人）（API）,現金,,100000
2025/01/21,川口信金（法人）（API）,現金,,15000
2025/01/19,川口信金（法人）（API）,現金,,30000
2025/01/19,川口信金（法人）（API）,現金,,20000
2025/01/17,川口信金（法人）（API）,現金,,20000
2025/01/17,川口信金（法人）（API）,現金,,10000
2025/01/16,川口信金（法人）（API）,現金,,10000
2025/01/14,みずほ（法人）（API）,現金,,30000
2025/01/13,みずほ（法人）（API）,現金,,200000
2025/01/13,川口信金（法人）（API）,現金,,60000
2025/01/10,みずほ（法人）（API）,現金,,200000
2025/01/10,みずほ（法人）（API）,現金,,200000
2025/01/06,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,571132
2024/12/30,川口信金（法人）（API）,現金,,200000
2024/12/24,みずほ（法人）（API）,現金,,200000
2024/12/21,みずほ（法人）（API）,現金,,100000
2024/12/17,みずほ（法人）（API）,現金,,100000
2024/12/11,みずほ（法人）（API）,現金,,200000
2024/12/04,川口信金（法人）（API）,現金,,350000
2024/12/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,644231
2024/11/26,みずほ（法人）（API）,現金,,90000
2024/11/25,川口信金（法人）（API）,現金,,30000
2024/11/20,みずほ（法人）（API）,現金,,100000
2024/11/16,みずほ（法人）（API）,現金,,100000
2024/11/12,みずほ（法人）（API）,現金,,200000
2024/11/06,現金,みずほ（法人）（API）,,150000
2024/11/05,みずほ（法人）（API）,現金,,200000
2024/11/05,みずほ（法人）（API）,現金,,200000
2024/11/05,川口信金（法人）（API）,現金,,100000
2024/11/05,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,507201
2024/10/31,川口信金（法人）（API）,現金,,300000
2024/10/28,みずほ（法人）（API）,現金,,200000
2024/10/24,みずほ（法人）（API）,現金,,200000
2024/10/22,川口信金（法人）（API）,現金,,300000
2024/10/10,みずほ（法人）（API）,現金,,550000
2024/10/09,みずほ（法人）（API）,現金,,200000
2024/10/07,みずほ（法人）（API）,現金,,200000
2024/10/04,現金,みずほ（法人）（API）,,900000
2024/10/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,561285
2024/10/04,みずほ（法人）（API）,現金,,100000
2024/10/01,みずほ（法人）（API）,現金,,50000
2024/09/16,みずほ（法人）（API）,現金,,200000
2024/09/13,みずほ（法人）（API）,現金,,200000
2024/09/13,みずほ（法人）（API）,現金,,200000
2024/09/13,みずほ（法人）（API）,現金,,200000
2024/09/13,みずほ（法人）（API）,現金,,200000
2024/09/12,現金,みずほ（法人）（API）,,1000000
2024/09/10,みずほ（法人）（API）,現金,,200000
2024/09/07,みずほ（法人）（API）,現金,,15000
2024/09/05,川口信金（法人）（API）,現金,,50000
2024/09/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,145349
2024/09/03,川口信金（法人）（API）,現金,,38000
2024/09/01,川口信金（法人）（API）,現金,,50000
2024/08/28,川口信金（法人）（API）,現金,,100000
2024/08/22,川口信金（法人）（API）,現金,,40000
2024/08/18,みずほ（法人）（API）,現金,,100000
2024/08/12,みずほ（法人）（API）,川口信金（法人）（API）,,700000
2024/08/09,現金,みずほ（法人）（API）,,700000
2024/08/09,現金,みずほ（法人）（API）,,550000
2024/08/09,みずほ（法人）（API）,現金,,200000
2024/08/09,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,548050
2024/08/02,みずほ（法人）（API）,現金,,200000
2024/07/30,みずほ（法人）（API）,現金,,200000
2024/07/29,川口信金（法人）（API）,現金,,60000
2024/07/27,みずほ（法人）（API）,現金,,100000
2024/07/27,川口信金（法人）（API）,現金,,50000
2024/07/26,川口信金（法人）（API）,現金,,10000
2024/07/26,川口信金（法人）（API）,現金,,10000
2024/07/25,みずほ（法人）（API）,現金,,1000000
2024/07/21,みずほ（法人）（API）,現金,,200000
2024/07/19,みずほ（法人）（API）,現金,,100000
2024/07/17,みずほ（法人）（API）,現金,,200000
2024/07/16,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,239616
2024/07/15,みずほ（法人）（API）,現金,,200000
2024/07/12,みずほ（法人）（API）,現金,,100000
2024/07/10,みずほ（法人）（API）,現金,,5000000
2024/07/10,現金,川口信金（法人）（API）,,5000000
2024/07/09,みずほ（法人）（API）,現金,,200000
2024/07/03,みずほ（法人）（API）,現金,,200000
2024/07/02,みずほ（法人）（API）,現金,,500000
2024/07/02,現金,川口信金（法人）（API）,,500000
2024/07/02,現金,川口信金（法人）（API）,,15000
2024/07/02,川口信金（法人）（API）,現金,,1100000
2024/06/27,みずほ（法人）（API）,現金,,200000
2024/06/24,みずほ（法人）（API）,現金,,100000
2024/06/21,みずほ（法人）（API）,現金,,200000
2024/06/11,みずほ（法人）（API）,現金,,3000000
2024/06/11,みずほ（法人）（API）,現金,,200000
2024/06/04,現金,みずほ（法人）（API）,,40000
2024/06/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,284050
2024/06/04,川口信金（法人）（API）,現金,,50000
2024/06/01,川口信金（法人）（API）,現金,,500000
2024/05/29,みずほ（法人）（API）,現金,,50000
2024/05/27,みずほ（法人）（API）,川口信金（法人）（API）,,700000
2024/05/27,川口信金（法人）（API）,現金,,606098
2024/05/20,みずほ（法人）（API）,現金,,200000
2024/05/19,みずほ（法人）（API）,現金,,200000
2024/05/19,みずほ（法人）（API）,現金,,200000
2024/05/14,みずほ（法人）（API）,現金,,200000
2024/05/10,みずほ（法人）（API）,現金,,200000
2024/05/09,みずほ（法人）（API）,現金,,200000
2024/05/08,みずほ（法人）（API）,現金,,200000
2024/05/08,みずほ（法人）（API）,現金,,200000
2024/05/07,みずほ（法人）（API）,現金,,20000
2024/05/07,現金,みずほ（法人）（API）,,600000
2024/05/07,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,349540
2024/05/07,川口信金（法人）（API）,現金,,600000
2024/04/30,みずほ（法人）（API）,現金,,170000
2024/04/24,みずほ（法人）（API）,現金,,200000
2024/04/23,現金,みずほ（法人）（API）,,600000
2024/04/23,みずほ（法人）（API）,現金,,200000
2024/04/23,川口信金（法人）（API）,現金,,600000
2024/04/17,みずほ（法人）（API）,現金,,200000
2024/04/15,みずほ（法人）（API）,現金,,200000
2024/04/11,みずほ（法人）（API）,現金,,200000
2024/04/10,現金,川口信金（法人）（API）,,1300000
2024/04/10,みずほ（法人）（API）,現金,,1300000
2024/04/05,現金,みずほ（法人）（API）,,200000
2024/04/05,みずほ（法人）（API）,現金,,200000
2024/04/05,川口信金（法人）（API）,現金,,200000
2024/04/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,162879
2024/04/04,freeeセゾンプラチナビジネスカード,現金,,5200
2024/04/03,みずほ（法人）（API）,現金,,200000
2024/04/03,みずほ（法人）（API）,現金,,50000
2024/04/01,みずほ（法人）（API）,現金,,200000
2024/04/01,みずほ（法人）（API）,現金,,200000
2024/04/01,みずほ（法人）（API）,現金,,200000
2024/04/01,みずほ（法人）（API）,現金,,400000
2024/04/01,川口信金（法人）（API）,現金,,1000000
2024/04/01,現金,みずほ（法人）（API）,,1000000
2024/03/28,みずほ（法人）（API）,現金,,200000
2024/03/27,みずほ（法人）（API）,現金,,500000
2024/03/26,現金,みずほ（法人）（API）,,2000000
2024/03/26,みずほ（法人）（API）,現金,,1000000
2024/03/26,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,2000000
2024/03/25,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,235522
2024/03/23,みずほ（法人）（API）,現金,,50000
2024/03/21,みずほ（法人）（API）,現金,,100000
2024/03/19,freeeセゾンプラチナビジネスカード,川口信金（法人）（API）,,300000
2024/03/19,みずほ（法人）（API）,現金,,300000
2024/03/18,みずほ（法人）（API）,現金,,200000
2024/03/15,みずほ（法人）（API）,現金,,200000
2024/03/14,みずほ（法人）（API）,現金,,200000
2024/03/13,freeeセゾンプラチナビジネスカード,川口信金（法人）（API）,,1000000
2024/03/13,みずほ（法人）（API）,現金,,1000000
2024/03/11,みずほ（法人）（API）,現金,,200000
2024/03/09,みずほ（法人）（API）,現金,,200000
2024/03/08,みずほ（法人）（API）,現金,,200000
2024/03/04,freeeセゾンプラチナビジネスカード,川口信金（法人）（API）,,200000
2024/03/04,現金,みずほ（法人）（API）,,200000
2024/03/04,みずほ（法人）（API）,現金,,200000
2024/02/23,みずほ（法人）（API）,現金,,50000
2024/02/19,みずほ（法人）（API）,現金,,100000
2024/02/14,みずほ（法人）（API）,現金,,200000
2024/02/13,みずほ（法人）（API）,現金,,200000
2024/02/13,みずほ（法人）（API）,現金,,2000000
2024/02/10,みずほ（法人）（API）,現金,,200000
2024/02/05,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,130209
2024/01/30,みずほ（法人）（API）,現金,,50000
2024/01/28,みずほ（法人）（API）,現金,,200000
2024/01/28,みずほ（法人）（API）,現金,,200000
2024/01/28,みずほ（法人）（API）,現金,,200000
2024/01/20,みずほ（法人）（API）,現金,,200000
2024/01/17,みずほ（法人）（API）,現金,,200000
2024/01/13,みずほ（法人）（API）,現金,,200000
2024/01/12,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,421845
2024/01/11,みずほ（法人）（API）,現金,,200000
2024/01/10,みずほ（法人）（API）,現金,,5000000
2024/01/10,みずほ（法人）（API）,現金,,500000
2024/01/10,みずほ（法人）（API）,現金,,200000
2024/01/08,みずほ（法人）（API）,現金,,100000
2023/12/28,freeeセゾンプラチナビジネスカード,川口信金（法人）（API）,,1600000
2023/12/15,みずほ（法人）（API）,現金,,200000
2023/12/14,みずほ（法人）（API）,現金,,200000
2023/12/11,みずほ（法人）（API）,現金,,200000
2023/12/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,209092
2023/11/30,川口信金（法人）（API）,現金,,700000
2023/11/27,みずほ（法人）（API）,現金,,200000
2023/11/24,みずほ（法人）（API）,現金,,200000
2023/11/17,みずほ（法人）（API）,現金,,200000
2023/11/16,みずほ（法人）（API）,現金,,200000
2023/11/15,みずほ（法人）（API）,現金,,200000
2023/11/13,みずほ（法人）（API）,現金,,200000
2023/11/10,みずほ（法人）（API）,現金,,200000
2023/11/06,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,276370
2023/11/06,川口信金（法人）（API）,現金,,400000
2023/11/01,川口信金（法人）（API）,現金,,300000
2023/10/26,川口信金（法人）（API）,現金,,500000
2023/10/23,川口信金（法人）（API）,現金,,1000000
2023/10/23,みずほ（法人）（API）,現金,,500000
2023/10/23,現金,みずほ（法人）（API）,,1000000
2023/10/18,川口信金（法人）（API）,現金,,200000
2023/10/16,みずほ（法人）（API）,現金,,200000
2023/10/07,みずほ（法人）（API）,現金,,200000
2023/10/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,254358
2023/10/03,川口信金（法人）（API）,現金,,500000
2023/10/02,みずほ（法人）（API）,現金,,200000
2023/10/02,みずほ（法人）（API）,現金,,200000
2023/09/27,みずほ（法人）（API）,現金,,200000
2023/09/26,みずほ（法人）（API）,現金,,400000
2023/09/26,みずほ（法人）（API）,現金,,200000
2023/09/26,みずほ（法人）（API）,現金,,200000
2023/09/26,みずほ（法人）（API）,現金,,200000
2023/09/26,みずほ（法人）（API）,現金,,1000000
2023/09/25,みずほ（法人）（API）,現金,,2000000
2023/09/25,freeeセゾンプラチナビジネスカード,川口信金（法人）（API）,,2000000
2023/09/19,みずほ（法人）（API）,現金,,200000
2023/09/13,みずほ（法人）（API）,現金,,200000
2023/09/13,みずほ（法人）（API）,現金,,200000
2023/09/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,244965
2023/08/31,freeeセゾンプラチナビジネスカード,みずほ（法人）（API）,,500000
2023/08/30,みずほ（法人）（API）,現金,,100000
2023/08/28,川口信金（法人）（API）,現金,,400000
2023/08/27,みずほ（法人）（API）,現金,,200000
2023/08/27,みずほ（法人）（API）,現金,,200000
2023/08/25,みずほ（法人）（API）,現金,,200000
2023/08/25,みずほ（法人）（API）,現金,,200000
2023/08/21,川口信金（法人）（API）,現金,,200000
2023/08/21,川口信金（法人）（API）,現金,,200000
2023/08/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,275691
2023/07/22,川口信金（法人）（API）,現金,,500000
2023/07/22,川口信金（法人）（API）,現金,,223000
2023/07/20,みずほ（法人）（API）,現金,,200000
2023/07/14,みずほ（法人）（API）,現金,,200000
2023/07/05,みずほ（法人）（API）,現金,,200000
2023/07/04,川口信金（法人）（API）,現金,,300000
2023/07/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,336316
2023/07/03,みずほ（法人）（API）,現金,,200000
2023/07/01,みずほ（法人）（API）,現金,,200000
2023/06/26,川口信金（法人）（API）,現金,,700000
2023/06/25,みずほ（法人）（API）,現金,,1000000
2023/06/05,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,312225
2023/05/26,みずほ（法人）（API）,現金,,500000
2023/05/23,みずほ（法人）（API）,現金,,1000000
2023/05/18,川口信金（法人）（API）,現金,,831900
2023/05/17,みずほ（法人）（API）,現金,,1000000
2023/05/15,川口信金（法人）（API）,現金,,940000
2023/05/11,みずほ（法人）（API）,現金,,200000
2023/05/08,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,164372
2023/05/03,みずほ（法人）（API）,現金,,10000
2023/04/26,川口信金（法人）（API）,現金,,1000000
2023/04/26,川口信金（法人）（API）,現金,,200000
2023/04/26,川口信金（法人）（API）,現金,,500000
2023/04/20,川口信金（法人）（API）,現金,,400000
2023/04/07,みずほ（法人）（API）,現金,,200000
2023/04/07,みずほ（法人）（API）,現金,,100000
2023/04/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,493005
2023/04/04,川口信金（法人）（API）,現金,,300000
2023/04/01,みずほ（法人）（API）,現金,,100000
2023/04/01,みずほ（法人）（API）,現金,,100000
2023/03/30,川口信金（法人）（API）,現金,,200000
2023/03/29,みずほ（法人）（API）,現金,,110000
2023/03/27,みずほ（法人）（API）,現金,,200000
2023/03/10,川口信金（法人）（API）,現金,,200000
2023/03/06,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,50189
2023/02/28,川口信金（法人）（API）,現金,,100000
2023/02/27,川口信金（法人）（API）,現金,,1000000
2023/02/20,川口信金（法人）（API）,現金,,1000000
2023/02/16,川口信金（法人）（API）,現金,,300000
2023/02/10,川口信金（法人）（API）,現金,,300000
2023/02/07,川口信金（法人）（API）,現金,,1000000
2023/02/06,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,446689
2023/02/06,川口信金（法人）（API）,現金,,1000000
2023/02/01,川口信金（法人）（API）,現金,,200000
2023/01/29,川口信金（法人）（API）,現金,,1000000
2023/01/29,川口信金（法人）（API）,現金,,1000000
2023/01/26,川口信金（法人）（API）,現金,,500000
2023/01/19,川口信金（法人）（API）,現金,,200000
2023/01/16,みずほ（法人）（API）,現金,,100000
2023/01/13,みずほ（法人）（API）,現金,,100000
2023/01/11,みずほ（法人）（API）,現金,,100000
2023/01/10,川口信金（法人）（API）,現金,,500000
2023/01/10,みずほ（法人）（API）,現金,,1000000
2023/01/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,343541
2023/01/04,川口信金（法人）（API）,現金,,200000
2022/12/30,現金,川口信金（法人）（API）,,490000
2022/12/29,川口信金（法人）（API）,現金,,1000000
2022/12/27,川口信金（法人）（API）,現金,,600000
2022/12/19,川口信金（法人）（API）,現金,,200000
2022/12/19,みずほ（法人）（API）,現金,,30000
2022/12/14,川口信金（法人）（API）,現金,,300000
2022/12/06,みずほ（法人）（API）,現金,,30000
2022/12/06,川口信金（法人）（API）,現金,,300000
2022/12/05,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,217203
2022/12/02,みずほ（法人）（API）,現金,,100000
2022/12/01,川口信金（法人）（API）,現金,,300000
2022/11/30,みずほ（法人）（API）,現金,,100000
2022/11/25,みずほ（法人）（API）,現金,,600000
2022/11/18,みずほ（法人）（API）,現金,,625000
2022/11/18,みずほ（法人）（API）,現金,,200000
2022/11/17,みずほ（法人）（API）,現金,,200000
2022/11/14,みずほ（法人）（API）,現金,,200000
2022/11/11,みずほ（法人）（API）,現金,,200000
2022/11/10,現金,川口信金（法人）（API）,,500000
2022/11/10,現金,川口信金（法人）（API）,,100000
2022/11/10,みずほ（法人）（API）,現金,,5000
2022/11/10,みずほ（法人）（API）,現金,,500000
2022/11/10,みずほ（法人）（API）,現金,,300000
2022/11/10,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,213785
2022/11/07,現金,川口信金（法人）（API）,,100000
2022/11/03,みずほ（法人）（API）,現金,,10000
2022/10/31,川口信金（法人）（API）,現金,,100000
2022/10/30,川口信金（法人）（API）,現金,,100000
2022/10/20,川口信金（法人）（API）,現金,,360000
2022/10/17,川口信金（法人）（API）,現金,,500000
2022/10/15,川口信金（法人）（API）,現金,,30000
2022/10/14,みずほ（法人）（API）,現金,,100000
2022/10/11,みずほ（法人）（API）,現金,,100000
2022/10/08,川口信金（法人）（API）,現金,,200000
2022/10/07,みずほ（法人）（API）,現金,,5000
2022/10/05,みずほ（法人）（API）,現金,,90000
2022/10/05,川口信金（法人）（API）,現金,,300000
2022/10/04,みずほ（法人）（API）,現金,,50000
2022/10/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,211118
2022/09/27,川口信金（法人）（API）,現金,,100000
2022/09/16,川口信金（法人）（API）,現金,,200000
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/09/05,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,351282
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/08/24,川口信金（法人）（API）,現金,,187000
2022/08/17,川口信金（法人）（API）,現金,,5000770
2022/08/15,みずほ（法人）（API）,現金,,200000
2022/08/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,151458
2022/08/02,川口信金（法人）（API）,現金,,500000
2022/07/22,川口信金（法人）（API）,現金,,1000000
2022/07/16,川口信金（法人）（API）,現金,,100000
2022/07/09,みずほ（法人）（API）,現金,,100000
2022/07/09,みずほ（法人）（API）,現金,,75000
2022/07/08,みずほ（法人）（API）,現金,,200000
2022/07/07,川口信金（法人）（API）,現金,,170000
2022/07/05,川口信金（法人）（API）,現金,,200000
2022/07/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,387783
2022/06/26,みずほ（法人）（API）,現金,,500000
2022/06/22,みずほ（法人）（API）,現金,,100000
2022/06/22,みずほ（法人）（API）,現金,,100000
2022/06/17,みずほ（法人）（API）,現金,,200000
2022/06/13,みずほ（法人）（API）,現金,,100000
2022/06/10,川口信金（法人）（API）,現金,,300000
2022/06/06,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,95098
2022/06/03,みずほ（法人）（API）,現金,,300000
2022/05/25,川口信金（法人）（API）,現金,,700000
2022/05/21,川口信金（法人）（API）,現金,,900000
2022/05/21,川口信金（法人）（API）,現金,,137000
2022/05/15,みずほ（法人）（API）,現金,,200000
2022/05/14,みずほ（法人）（API）,現金,,200000
2022/05/09,川口信金（法人）（API）,現金,,100000
2022/05/06,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,369618
2022/05/02,川口信金（法人）（API）,現金,,300000
2022/04/22,川口信金（法人）（API）,現金,,700000
2022/04/14,みずほ（法人）（API）,現金,,200000
2022/04/11,川口信金（法人）（API）,現金,,600000
2022/04/07,川口信金（法人）（API）,現金,,415000
2022/04/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,138119
2022/04/04,川口信金（法人）（API）,現金,,500000
2022/04/01,川口信金（法人）（API）,現金,,200000
2022/03/16,川口信金（法人）（API）,現金,,200000
2022/03/11,川口信金（法人）（API）,現金,,422000
2022/03/11,川口信金（法人）（API）,現金,,600000
2022/01/31,みずほ（法人）（API）,現金,,20000
2022/01/28,みずほ（法人）（API）,現金,,200000
2022/01/23,みずほ（法人）（API）,現金,,20000
2022/01/20,みずほ（法人）（API）,現金,,50000
2022/01/17,みずほ（法人）（API）,現金,,100000
2022/01/07,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,414048
2022/01/06,みずほ（法人）（API）,現金,,100000
2021/12/29,みずほ（法人）（API）,現金,,1000000
2021/12/28,みずほ（法人）（API）,現金,,1000000
2021/12/26,みずほ（法人）（API）,現金,,100000
2021/12/24,みずほ（法人）（API）,現金,,200000
2021/12/22,みずほ（法人）（API）,現金,,200000
2021/12/20,みずほ（法人）（API）,現金,,200000
2021/12/20,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,9913
2021/12/17,みずほ（法人）（API）,現金,,100000
2021/12/16,みずほ（法人）（API）,現金,,200000
2021/12/14,みずほ（法人）（API）,現金,,100000
2021/12/06,みずほ（法人）（API）,現金,,90000
2021/11/30,みずほ（法人）（API）,現金,,150000
2021/11/30,みずほ（法人）（API）,現金,,1000000
2021/11/29,現金,みずほ（法人）（API）,,200000
2021/11/15,みずほ（法人）（API）,現金,,100000
2021/11/09,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,416538
2021/11/08,みずほ（法人）（API）,現金,,100000
2021/11/06,現金,みずほ（法人）（API）,,900000
2021/10/31,みずほ（法人）（API）,現金,,100000
2021/10/28,みずほ（法人）（API）,現金,,20000
2021/10/25,現金,みずほ（法人）（API）,,1000000
2021/10/19,みずほ（法人）（API）,現金,,33000
2021/10/11,みずほ（法人）（API）,現金,,50000
2021/10/11,みずほ（法人）（API）,現金,,50000
2021/10/09,みずほ（法人）（API）,現金,,100000
2021/10/08,みずほ（法人）（API）,現金,,200000
2021/10/05,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,105574
2021/10/05,みずほ（法人）（API）,現金,,150000
2021/10/03,みずほ（法人）（API）,現金,,200000
2021/09/30,現金,みずほ（法人）（API）,,800000
2021/09/27,現金,みずほ（法人）（API）,,400000
2021/09/16,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,150606
2021/09/15,現金,みずほ（法人）（API）,,200000
2021/09/02,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,25000
2021/09/01,みずほ（法人）（API）,現金,,600000
2021/08/31,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,380932
2021/08/25,みずほ（法人）（API）,現金,,50000
2021/08/23,みずほ（法人）（API）,現金,,100000
2021/08/19,みずほ（法人）（API）,現金,,100000
2021/08/15,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,250000
2021/08/11,みずほ（法人）（API）,現金,,50000
2021/08/11,みずほ（法人）（API）,現金,,10000
2021/08/10,みずほ（法人）（API）,現金,,1000000
2021/07/29,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,1000000
2021/07/29,現金,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,,1000000
2021/07/29,現金,みずほ（法人）（API）,,768000
2021/07/27,みずほ（法人）（API）,現金,,50000
2021/07/22,みずほ（法人）（API）,現金,,200000
2021/07/20,みずほ（法人）（API）,現金,,100000
2021/07/19,みずほ（法人）（API）,現金,,200000
2021/07/18,みずほ（法人）（API）,現金,,200000
2021/07/15,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,200000
2021/07/12,みずほ（法人）（API）,現金,,200000
2021/07/12,みずほ（法人）（API）,現金,,200000
2021/07/10,みずほ（法人）（API）,現金,,200000
2021/07/10,みずほ（法人）（API）,現金,,200000
2021/07/03,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,200000
2021/07/01,みずほ（法人）（API）,現金,,240000
2021/07/01,みずほ（法人）（API）,現金,,200000
2021/06/28,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,500000
2021/06/15,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,100000
2021/06/14,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,200000
2021/06/13,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,200000
2021/06/08,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,231280円5月分保険料,250000
